site,year,date,datescaled,siteyear,siteday,treeID,recorder,caterpillars,temp_m.cent,temp_ls.cent,temp_lm.cent,resid
DAV,2014,128,-1.412788917,DAV 2014,DAV 128 2014,DAV 4,JDS,0,1.088387342,0.626838933,0.703823508,168
DAV,2014,128,-1.412788917,DAV 2014,DAV 128 2014,DAV 2,ERI,0,1.088387342,0.626838933,0.703823508,169
DEL,2014,128,-1.412788917,DEL 2014,DEL 128 2014,DEL 7Z,ERI,0,2.06269637,1.116545991,0.943341366,170
DEL,2014,128,-1.412788917,DEL 2014,DEL 128 2014,DEL 1,ERI,0,2.06269637,1.116545991,0.943341366,171
DLW,2014,128,-1.412788917,DLW 2014,DLW 128 2014,DLW 4,ERI,0,0.029018295,-0.065423397,0.401457437,172
DLW,2014,128,-1.412788917,DLW 2014,DLW 128 2014,DLW 6,ERI,0,0.029018295,-0.065423397,0.401457437,173
DOR,2014,128,-1.412788917,DOR 2014,DOR 128 2014,DOR 4,JDS,0,1.984840219,1.300534724,1.197364679,174
DOR,2014,128,-1.412788917,DOR 2014,DOR 128 2014,DOR 5,JDS,0,1.984840219,1.300534724,1.197364679,175
DOR,2014,128,-1.412788917,DOR 2014,DOR 128 2014,DOR 1,ERI,0,1.984840219,1.300534724,1.197364679,176
DUN,2014,128,-1.412788917,DUN 2014,DUN 128 2014,DUN 4,JDS,0,1.25347266,0.797484342,1.230031346,177
DUN,2014,128,-1.412788917,DUN 2014,DUN 128 2014,DUN 5,JDS,0,1.25347266,0.797484342,1.230031346,178
FOF,2014,128,-1.412788917,FOF 2014,FOF 128 2014,FOF 7,ABP,0,1.507552521,1.060131025,1.243029362,179
FOF,2014,128,-1.412788917,FOF 2014,FOF 128 2014,FOF 6,ABP,0,1.507552521,1.060131025,1.243029362,180
FOU,2014,128,-1.412788917,FOU 2014,FOU 128 2014,FOU 4,JDS,0,2.006238533,1.296045353,1.293367655,181
FOU,2014,128,-1.412788917,FOU 2014,FOU 128 2014,FOU 3,ERI,0,2.006238533,1.296045353,1.293367655,182
FSH,2014,128,-1.412788917,FSH 2014,FSH 128 2014,FSH 1,JDS,0,0.740810953,0.680477751,1.140761504,183
FSH,2014,128,-1.412788917,FSH 2014,FSH 128 2014,FSH 3,JDS,0,0.740810953,0.680477751,1.140761504,184
FSH,2014,128,-1.412788917,FSH 2014,FSH 128 2014,FSH 6,ERI,0,0.740810953,0.680477751,1.140761504,185
GLF,2014,128,-1.412788917,GLF 2014,GLF 128 2014,GLF 2,ABP,0,1.516827818,1.2180681,1.612950493,186
GLF,2014,128,-1.412788917,GLF 2014,GLF 128 2014,GLF 6,ABP,0,1.516827818,1.2180681,1.612950493,187
GLF,2014,128,-1.412788917,GLF 2014,GLF 128 2014,GLF 7,ABP,0,1.516827818,1.2180681,1.612950493,188
INS,2014,128,-1.412788917,INS 2014,INS 128 2014,INS 3,JDS,0,0.979674545,0.788011765,1.208358231,189
INS,2014,128,-1.412788917,INS 2014,INS 128 2014,INS 6,ERI,0,0.979674545,0.788011765,1.208358231,190
INS,2014,128,-1.412788917,INS 2014,INS 128 2014,INS 2,JDS,0,0.979674545,0.788011765,1.208358231,191
KCK,2014,128,-1.412788917,KCK 2014,KCK 128 2014,KCK 3,JDS,0,1.151421072,0.911482641,1.38929325,192
KCK,2014,128,-1.412788917,KCK 2014,KCK 128 2014,KCK 4,ERI,0,1.151421072,0.911482641,1.38929325,193
LVN,2014,128,-1.412788917,LVN 2014,LVN 128 2014,LVN 1,ABP,0,1.646716211,1.255042377,1.421811604,194
LVN,2014,128,-1.412788917,LVN 2014,LVN 128 2014,LVN 3,ABP,0,1.646716211,1.255042377,1.421811604,195
LVN,2014,128,-1.412788917,LVN 2014,LVN 128 2014,LVN 4,ABP,0,1.646716211,1.255042377,1.421811604,196
MCH,2014,128,-1.412788917,MCH 2014,MCH 128 2014,MCH 1,ABP,0,2.462428017,1.869197777,1.985667754,197
MCH,2014,128,-1.412788917,MCH 2014,MCH 128 2014,MCH 6,ABP,1,2.462428017,1.869197777,1.985667754,198
MCH,2014,128,-1.412788917,MCH 2014,MCH 128 2014,MCH 4,ABP,1,2.462428017,1.869197777,1.985667754,199
STY,2014,128,-1.412788917,STY 2014,STY 128 2014,STY 5,ERI,0,1.872714227,1.687729877,2.183838885,200
STY,2014,128,-1.412788917,STY 2014,STY 128 2014,STY 6,ERI,0,1.872714227,1.687729877,2.183838885,201
ALN,2014,129,-1.341806278,ALN 2014,ALN 129 2014,ALN 1,JDS,0,1.704780199,1.118110404,1.135086901,202
AVI,2014,129,-1.341806278,AVI 2014,AVI 129 2014,AVI 4,JDS,0,0.788794584,0.553026433,0.938971326,203
BIR,2014,129,-1.341806278,BIR 2014,BIR 129 2014,BIR 6,JDS,0,1.074345676,0.838789826,1.286855254,204
BLA,2014,129,-1.341806278,BLA 2014,BLA 129 2014,BLA 6,JDS,0,0.629639822,0.723221586,1.229954957,205
BLG,2014,129,-1.341806278,BLG 2014,BLG 129 2014,BLG 1,JDS,0,1.704894287,1.333647607,1.693670235,206
DNC,2014,129,-1.341806278,DNC 2014,DNC 129 2014,DNC 3,JDS,0,-0.356315039,-0.311735897,0.132741663,207
DNM,2014,129,-1.341806278,DNM 2014,DNM 129 2014,DNM 3,JDS,0,0.056146767,0.04502452,0.47487212,208
MUN,2014,129,-1.341806278,MUN 2014,MUN 129 2014,MUN 4,JDS,0,1.556335259,1.05614208,1.139247616,209
NEW,2014,129,-1.341806278,NEW 2014,NEW 129 2014,NEW 1,JDS,0,0.75034766,0.541354027,0.899491167,210
PTH,2014,129,-1.341806278,PTH 2014,PTH 129 2014,PTH 6,JDS,0,2.378797064,2.020973075,2.431389481,211
TAI,2014,129,-1.341806278,TAI 2014,TAI 129 2014,TAI 7,JDS,0,1.924531687,1.034687148,0.864537794,212
TOM,2014,129,-1.341806278,TOM 2014,TOM 129 2014,TOM 6,JDS,1,0.615702818,0.285267505,0.495724798,213
BAD,2014,130,-1.270823638,BAD 2014,BAD 130 2014,BAD 3,ABP,0,1.010393295,0.834143143,1.193222814,214
